year,Low_50,High_10
1913,0.1473,0.433
1914,0.1456,0.4393
1915,0.1477,0.4321
1916,0.1436,0.4462
1917,0.1426,0.4517
1918,0.144,0.4416
1919,0.1402,0.4609
1920,0.1446,0.4433
1921,0.135,0.4757
1922,0.1387,0.4628
1923,0.1452,0.4388
1924,0.1382,0.4589
1925,0.1338,0.4739
1926,0.1327,0.4778
1927,0.1343,0.4726
1928,0.1317,0.4841
1929,0.1349,0.4714
1930,0.1357,0.4648
1931,0.1345,0.4652
1932,0.129,0.4848
1933,0.13,0.4817
1934,0.1283,0.4924
1935,0.135,0.4829
1936,0.1344,0.4859
1937,0.137,0.477
1938,0.1376,0.4733
1939,0.1338,0.4881
1940,0.1346,0.4918
1941,0.1411,0.4722
1942,0.1669,0.4285
1943,0.1773,0.3937
1944,0.1855,0.3656
1945,0.1515,0.3557
1946,0.1645,0.3725
1947,0.1656,0.372
1948,0.171,0.3901
1949,0.1672,0.3852
1950,0.1732,0.3916
1951,0.1827,0.3797
1952,0.1867,0.3677
1953,0.1908,0.3576
1954,0.1831,0.3611
1955,0.1848,0.3686
1956,0.1899,0.3585
1957,0.1892,0.358
1958,0.1813,0.3563
1959,0.1798,0.3605
1960,0.1803,0.3558
1961,0.1753,0.3567
1962,0.1869,0.3628
1963,0.1836,0.367
1964,0.1805,0.3709
1965,0.1852,0.3674
1966,0.1895,0.3643
1967,0.1983,0.3551
1968,0.1963,0.3574
1969,0.2024,0.3435
1970,0.202,0.3375
1971,0.1951,0.3433
1972,0.194,0.3458
1973,0.1944,0.3493
1974,0.1984,0.3396
1975,0.1936,0.3429
1976,0.1947,0.3421
1977,0.1918,0.3463
1978,0.1913,0.3435
1979,0.1929,0.3466
1980,0.1907,0.342
1981,0.1873,0.3464
1982,0.1833,0.3483
1983,0.1765,0.3544
1984,0.1725,0.3669
1985,0.1716,0.3673
1986,0.1706,0.3643
1987,0.1678,0.3738
1988,0.163,0.3908
1989,0.1638,0.3867
1990,0.1632,0.3864
1991,0.1618,0.3843
1992,0.155,0.3947
1993,0.1563,0.3912
1994,0.1559,0.3917
1995,0.1521,0.3996
1996,0.1496,0.4088
1997,0.1474,0.4158
1998,0.1479,0.42
1999,0.1471,0.4231
2000,0.1463,0.4286
2001,0.1488,0.4201
2002,0.1492,0.416
2003,0.1467,0.4167
2004,0.144,0.4242
2005,0.1401,0.4344
2006,0.1379,0.4423
2007,0.1396,0.442
2008,0.1393,0.438
2009,0.1388,0.4259
2010,0.1349,0.4388
2011,0.1316,0.4447
2012,0.1296,0.4555
2013,0.1305,0.4506
2014,0.1282,0.4567
2015,0.1289,0.4568
2016,0.1283,0.4543
2017,0.1334,0.4535
2018,0.1326,0.4563
2019,0.1331,0.4546
2020,0.1331,0.4546
2021,0.1331,0.4546
