date,rate
1948-01,3.4
1949-01,4.3
1950-01,6.5
1951-01,3.7
1952-01,3.2
1953-01,2.9
1954-01,4.9
1955-01,4.9
1956-01,4
1957-01,4.2
1958-01,5.8
1959-01,6
1960-01,5.2
1961-01,6.6
1962-01,5.8
1963-01,5.7
1964-01,5.6
1965-01,4.9
1966-01,4
1967-01,3.9
1968-01,3.7
1969-01,3.4
1970-01,3.9
1971-01,5.9
1972-01,5.8
1973-01,4.9
1974-01,5.1
1975-01,8.1
1976-01,7.9
1977-01,7.5
1978-01,6.4
1979-01,5.9
1980-01,6.3
1981-01,7.5
1982-01,8.6
1983-01,10.4
1984-01,8
1985-01,7.3
1986-01,6.7
1987-01,6.6
1988-01,5.7
1989-01,5.4
1990-01,5.4
1991-01,6.4
1992-01,7.3
1993-01,7.3
1994-01,6.6
1995-01,5.6
1996-01,5.6
1997-01,5.3
1998-01,4.6
1999-01,4.3
2000-01,4
2001-01,4.2
2002-01,5.7
2003-01,5.8
2004-01,5.7
2005-01,5.3
2006-01,4.7
2007-01,4.6
2008-01,5
2009-01,7.8
2010-01,9.8
2011-01,9.1
2012-01,8.3
2013-01,8
2014-01,6.6
2015-01,5.7
2016-01,4.8
2017-01,4.7
2018-01,4
2019-01,4
2020-01,3.5
2021-01,6.4
2022-01,4
