year,national_income_nominal_bn,private_wealth_nominal_bn,national_income_2010_bn,private_wealth_2010_bn,wealth_income_ratio
1869,7.59,,110.7,,
1870,7.77,32.74,119.2,502.2,4.213
1871,8.03,33.94,124.7,527.0,4.227
1872,8.1,34.72,129.1,553.7,4.289
1873,8.43,36.0,135.7,579.6,4.272
1874,8.13,36.81,134.6,609.2,4.525
1875,8.2,36.98,141.8,639.7,4.512
1876,7.98,37.29,143.5,670.9,4.675
1877,8.15,38.65,148.8,706.1,4.744
1878,7.97,38.1,155.1,741.2,4.779
1879,8.69,38.93,174.2,780.1,4.479
1880,10.22,42.73,194.8,814.7,4.183
1881,10.52,44.29,201.6,848.6,4.209
1882,11.28,46.99,211.5,881.7,4.168
1883,11.16,47.07,216.8,914.4,4.219
1884,10.87,46.66,220.9,948.6,4.294
1885,10.67,47.25,222.3,984.2,4.427
1886,10.99,48.9,229.0,1018.5,4.448
1887,11.28,50.49,234.9,1051.6,4.477
1888,11.4,53.23,233.7,1090.8,4.668
1889,12.14,55.01,248.4,1125.9,4.533
1890,12.02,55.57,252.1,1165.4,4.623
1891,12.4,57.62,259.9,1208.4,4.649
1892,12.91,59.09,274.1,1254.6,4.578
1893,12.94,61.53,274.1,1302.8,4.753
1894,11.9,60.51,265.9,1352.4,5.085
1895,13.09,61.86,297.3,1405.0,4.726
1896,12.84,64.4,290.7,1458.4,5.017
1897,13.55,65.87,311.6,1514.2,4.86
1898,14.05,69.14,318.7,1568.0,4.919
1899,15.94,73.27,355.7,1635.2,4.598
1900,16.59,77.96,362.8,1704.9,4.699
1901,18.72,81.36,407.2,1769.3,4.345
1902,19.53,85.71,418.8,1837.7,4.388
1903,20.61,91.49,430.5,1910.8,4.438
1904,21.59,95.94,447.2,1987.6,4.444
1905,23.56,99.78,487.5,2064.2,4.234
1906,25.35,107.19,508.0,2147.8,4.228
1907,25.84,116.51,495.7,2235.2,4.509
1908,23.91,117.94,468.6,2311.9,4.933
1909,26.73,121.86,523.4,2385.6,4.558
1910,27.95,122.33,561.6,2457.8,4.377
1911,28.77,134.54,542.5,2536.5,4.676
1912,31.0,142.25,570.4,2617.5,4.589
1913,32.52,147.54,592.7,2689.0,4.537
1914,30.46,153.65,548.0,2764.1,5.044
1915,32.34,161.25,568.4,2834.2,4.986
1916,40.93,182.49,660.3,2943.9,4.458
1917,49.28,196.97,664.1,2654.5,3.997
1918,62.33,219.5,714.8,2517.1,3.521
1919,69.06,263.43,694.2,2648.0,3.815
1920,78.02,280.78,679.4,2445.1,3.599
1921,65.53,264.9,655.7,2650.6,4.043
1922,66.1,268.13,711.6,2886.7,4.056
1923,77.54,282.8,811.4,2959.3,3.647
1924,79.61,296.05,832.5,3095.9,3.719
1925,82.85,320.19,851.3,3289.9,3.865
1926,88.32,341.09,902.6,3485.9,3.862
1927,87.01,367.49,905.0,3822.0,4.223
1928,87.9,416.21,921.7,4364.3,4.735
1929,93.9,464.4,981.9,4856.3,4.946
1930,82.9,401.98,899.8,4363.0,4.849
1931,67.4,329.98,815.9,3994.4,4.896
1932,51.1,267.61,700.5,3668.3,5.237
1933,48.8,273.65,687.4,3854.5,5.608
1934,58.1,295.34,775.7,3943.3,5.083
1935,66,315.14,863.6,4123.8,4.775
1936,74.7,359.18,967.1,4650.2,4.808
1937,83.3,361.02,1033.7,4480.1,4.334
1938,76.6,348.34,979.0,4452.2,4.548
1939,82,360.33,1058.4,4651.0,4.394
1940,90.9,367.11,1159.7,4683.5,4.039
1941,115.8,381.21,1384.3,4556.9,3.292
1942,149.5,414.54,1657.0,4594.6,2.773
1943,184.2,471.42,1936.8,4956.8,2.559
1944,198,535.18,2033.5,5496.5,2.703
1945,198.3,615.27,1984.1,6156.1,3.103
1946,198.6,691.29,1776.2,6182.7,3.481
1947,216.3,756.5,1745.4,6104.4,3.497
1948,242.6,846.46,1853.7,6467.7,3.489
1949,237.5,914.77,1818.1,7002.7,3.852
1950,263.9,964.41,1998.6,7303.6,3.654
1951,303.8,1045.77,2146.1,7387.5,3.442
1952,321.3,1114.71,2231.4,7741.5,3.469
1953,338.6,1149.17,2323.6,7886.1,3.394
1954,338.7,1208.72,2303.2,8219.5,3.569
1955,372,1308.92,2487.1,8751.3,3.519
1956,394.9,1407.9,2552.8,9101.1,3.565
1957,413.3,1469.37,2585.7,9192.8,3.555
1958,415.6,1559.09,2543.0,9540.0,3.751
1959,453.5,1676.39,2742.3,10137.1,3.697
1960,473.92,1749.4,2826.2,10432.5,3.691
1961,490.68,1859.03,2893.7,10963.1,3.789
1962,528.87,1965.18,3076.9,11433.1,3.716
1963,559.73,2042.06,3222.1,11755.2,3.648
1964,601.42,2176.06,3409.2,12335.3,3.618
1965,652.18,2349.56,3630.9,13081.0,3.603
1966,710.13,2470.37,3844.5,13373.9,3.479
1967,750.4,2639.41,3941.1,13862.4,3.517
1968,821.19,2944.89,4137.1,14836.3,3.586
1969,888.48,3111.98,4265.5,14940.3,3.503
1970,929.53,3181.46,4239.1,14508.8,3.423
1971,1005.62,3428.0,4367.8,14889.3,3.409
1972,1110.34,3871.91,4623.1,16121.5,3.487
1973,1246.09,4226.57,4915.6,16673.2,3.392
1974,1341.47,4312.81,4851.5,15597.5,3.215
1975,1444.02,4620.32,4771.4,15266.6,3.2
1976,1609.79,5260.37,5030.4,16437.9,3.268
1977,1797.43,5854.07,5280.2,17197.0,3.257
1978,2027.87,6527.1,5566.4,17916.6,3.219
1979,2248.28,7485.22,5697.6,18968.9,3.329
1980,2432.95,8635.23,5650.4,20054.8,3.549
1981,2729.85,9571.01,5796.7,20323.4,3.506
1982,2851.41,10234.6,5706.6,20482.9,3.589
1983,3070.89,10961.46,5912.1,21103.1,3.569
1984,3461.3,11737.66,6422.5,21779.5,3.391
1985,3696.24,12771.25,6656.9,23001.0,3.455
1986,3871.45,14073.1,6821.6,24797.2,3.635
1987,4150.04,15197.06,7106.3,26022.5,3.662
1988,4522.3,16382.91,7486.5,27121.3,3.623
1989,4800.51,17902.92,7658.0,28559.5,3.729
1990,5059.55,18831.33,7771.3,28924.3,3.722
1991,5217.9,19693.34,7740.1,29212.6,3.774
1992,5517.1,20889.11,7994.4,30268.7,3.786
1993,5784.72,21984.69,8201.0,31167.8,3.8
1994,6181.26,22972.85,8582.3,31896.5,3.717
1995,6522.32,24628.75,8871.0,33497.5,3.776
1996,6931.69,26932.98,9251.7,35947.4,3.885
1997,7405.98,29692.9,9713.2,38943.1,4.009
1998,7875.59,33388.64,10213.7,43301.0,4.24
1999,8357.97,37787.12,10682.2,48295.4,4.521
2000,8938.89,40256.08,11182.5,50360.1,4.503
2001,9185.21,40088.82,11236.8,49043.2,4.364
