year,Low_50,Top_10
1962,0.0252,0.7033
1963,0.0239,0.703
1964,0.0227,0.7026
1965,0.0229,0.6986
1966,0.0231,0.6948
1967,0.022,0.6828
1968,0.0194,0.7008
1969,0.0238,0.6729
1970,0.0213,0.6874
1971,0.0231,0.6729
1972,0.0216,0.6862
1973,0.0223,0.6748
1974,0.0209,0.6551
1975,0.022,0.6617
1976,0.0237,0.6443
1977,0.0215,0.6518
1978,0.0227,0.6296
1979,0.0219,0.645
1980,0.022,0.642
1981,0.0236,0.6382
1982,0.0265,0.6285
1983,0.0277,0.6233
1984,0.0254,0.625
1985,0.0266,0.6211
1986,0.0264,0.6227
1987,0.0285,0.6273
1988,0.0272,0.6399
1989,0.0269,0.6409
1990,0.0267,0.6416
1991,0.0263,0.6421
1992,0.0242,0.6556
1993,0.0231,0.6583
1994,0.0219,0.6585
1995,0.0206,0.6612
1996,0.0189,0.665
1997,0.0167,0.6718
1998,0.0158,0.6787
1999,0.017,0.6787
2000,0.0175,0.6786
2001,0.019,0.672
2002,0.0194,0.6726
2003,0.0184,0.674
2004,0.0179,0.6786
2005,0.0186,0.6792
2006,0.0169,0.68
2007,0.0142,0.6843
2008,0.0112,0.6944
2009,0.0095,0.6969
2010,0.0089,0.7088
2011,0.0088,0.7171
2012,0.0087,0.7256
2013,0.0092,0.7288
2014,0.0103,0.7285
2015,0.0109,0.7267
2016,0.0115,0.7224
2017,0.0143,0.7084
2018,0.0148,0.7068
2019,0.0151,0.7067
2020,0.015,0.7067
2021,0.0151,0.7067
